Geneid	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_2_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_1_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_3_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_3_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_2_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_1_Aligned.out_cleaned.bam
YDL073W	4	18	21	7	8	11
YDL072C	55	69	58	37	47	47
YDL071C	3	2	2	0	2	2
YDL070W	130	174	185	144	107	140
YDL069C	17	32	24	21	25	26
YDL068W	0	0	1	0	0	0
YDL067C	101	167	138	87	97	104
YDL066W	103	149	127	149	134	102
YDL065C	202	226	241	196	161	159
YDL064W	73	106	99	93	85	81
YDL063C	30	50	27	23	17	17
YDL062W	0	0	0	0	0	0
YDL061C	216	296	246	215	224	191
YDL060W	45	62	77	41	51	39
YDL059C	76	110	104	102	80	101
YDL058W	62	79	122	49	47	30
YDL057W	18	15	22	19	12	18
YDL056W	25	42	44	21	21	14
YDL055C	151	185	207	160	179	150
tK(UUU)D	0	0	0	0	0	1
YDL054C	16	18	19	24	19	19
YDL053C	60	82	79	64	63	72
YDL052C	28	33	42	43	25	34
YDL051W	128	172	163	152	117	115
YDL050C	0	0	0	0	0	0
YDL049C	10	12	7	12	13	16
YDL048C	299	285	296	398	373	353
YDL047W	50	78	68	71	57	48
YDL046W	73	89	86	67	75	57
YDL045W-A	38	63	42	63	58	57
YDL045C	22	24	28	26	23	23
YDL044C	19	47	44	46	19	38
YDL043C	16	16	14	23	13	17
YDL042C	32	26	30	32	37	32
YDL041W	0	0	0	0	0	1
YDL040C	93	139	134	100	89	67
YDL039C	13	10	17	4	5	3
YDL037C	31	20	27	30	28	27
YDL036C	62	81	76	69	62	44
YDL035C	20	23	15	5	10	12
YDL034W	0	0	1	0	0	0
YDL033C	17	44	31	28	25	15
YDL032W	0	0	0	0	0	0
YDL031W	29	41	43	27	24	14
YDL030W	112	135	112	104	72	76
YDL029W	38	37	39	27	33	22
YDL028C	27	42	45	37	15	26
YDL027C	16	29	25	38	57	39
YDL026W	0	0	0	0	1	1
YDL025C	89	95	88	147	129	159
YDL025W-A	0	0	1	0	0	0
YDL024C	3	5	4	8	6	9
YDL022C-A	2	2	4	0	0	3
tA(AGC)D	1	1	0	0	0	0
YDL023C	0	0	0	0	1	0
YDL022W	113	175	153	117	94	107
YDL021W	38	59	58	60	61	67
YDL020C	102	214	114	131	118	115
YDL019C	83	104	146	54	51	58
YDL018C	49	70	53	64	52	57
YDL017W	51	69	54	46	38	39
YDL016C	0	0	1	0	0	0
YDL015C	72	73	61	64	75	59
YDL014W	94	107	140	123	137	149
YDL013W	36	57	52	44	49	38
YDL012C	55	62	54	78	75	77
YDL011C	0	0	0	0	0	0
YDL010W	108	201	178	109	99	88
YDL009C	1	2	2	0	1	1
YDL008W	21	25	26	28	28	22
tT(AGU)D	0	0	0	0	0	0
YDL007C-A	0	0	0	0	0	0
tS(AGA)D1	0	0	0	0	0	0
YDL007W	251	363	345	252	186	211
YDL006W	17	35	43	34	18	26
YDL005C	66	119	97	111	71	68
YDL004W	118	158	149	120	124	102
YDL003W	40	46	41	13	20	31
YDL002C	129	148	156	130	135	123
YDL001W	36	34	32	37	25	33
YDR001C	188	247	330	327	258	255
YDR002W	661	817	747	632	604	502
YDR003W	50	68	68	52	31	46
YDR003W-A	1	0	1	1	0	0
YDR004W	25	39	38	33	34	34
YDR005C	20	36	26	30	28	24
YDR006C	121	124	146	209	152	184
YDR007W	26	46	41	41	45	43
YDR008C	25	53	33	52	26	43
YDR009W	3	0	3	3	2	5
YDR010C	0	0	0	1	1	0
YDR011W	150	214	255	236	181	184
YDR012W	76	90	102	56	62	75
YDR013W	8	14	10	11	9	10
YDR014W	21	10	14	8	10	10
YDR014W-A	2	7	8	4	3	5
YDR015C	0	0	0	0	0	0
YDR016C	35	28	26	25	29	28
YDR017C	57	84	75	48	41	42
YDR018C	5	8	7	2	5	10
YDR019C	61	75	67	74	60	78
YDR020C	26	43	43	24	27	18
YDR021W	52	70	71	59	46	57
YDR022C	64	80	85	67	52	41
tV(UAC)D	0	0	0	0	0	1
YDR023W	263	326	322	249	216	223
YDR024W	0	2	5	1	1	2
YDR025W	424	619	596	628	493	437
YDR026C	200	286	308	194	170	200
YDR027C	32	53	65	30	30	26
YDR028C	41	35	52	21	21	21
YDR029W	0	1	0	2	0	0
YDR030C	12	13	11	16	14	12
YDR031W	20	36	21	14	17	17
YDR032C	33	44	42	40	37	31
YDR033W	119	202	210	80	100	76
YDR034C	26	49	42	40	34	26
YDR034C-D	2	2	7	1	1	2
YDR034C-C	0	0	0	0	0	0
tL(UAA)D	0	0	0	0	0	0
YDR034C-A	0	0	0	0	0	0
tQ(UUG)D1	0	0	0	0	0	0
YDR034W-B	11	13	10	9	9	17
YDR035W	137	200	168	115	107	107
YDR036C	30	40	40	42	34	50
YDR037W	276	327	363	288	267	238
YDR038C	1	1	2	2	0	1
YDR039C	1	0	0	0	0	0
YDR040C	27	41	30	37	13	30
YDR041W	76	82	69	84	76	70
YDR042C	4	1	3	4	3	5
snR47	3	3	1	0	2	0
YDR043C	54	67	69	68	77	74
YDR044W	22	32	25	33	38	37
YDR045C	20	36	30	26	19	18
YDR046C	97	126	144	123	86	86
YDR047W	32	53	48	29	29	31
YDR048C	0	0	1	0	1	0
YDR049W	32	59	39	23	30	25
YDR050C	173	206	203	158	161	150
YDR051C	109	132	138	136	109	108
YDR052C	27	42	57	48	35	43
YDR053W	0	1	0	1	1	0
YDR054C	30	38	63	38	50	31
YDR055W	95	92	100	102	101	77
YDR056C	148	244	176	214	166	144
YDR057W	12	23	18	17	11	11
YDR058C	6	12	13	5	2	7
tR(UCU)D	0	1	0	0	0	0
tD(GUC)D	1	1	0	0	0	0
YDR059C	5	18	8	20	9	16
YDR060W	283	288	311	231	201	207
YDR061W	35	49	63	54	32	24
YDR062W	63	71	83	74	71	69
YDR063W	167	242	193	186	129	119
YDR064W	295	393	336	306	324	280
YDR065W	18	21	24	32	17	16
YDR066C	10	7	9	10	11	6
YDR067C	84	117	85	125	97	110
YDR068W	92	120	102	86	75	70
YDR069C	32	61	46	54	32	39
YDR070C	44	63	50	55	55	38
YDR071C	241	357	311	231	220	196
YDR072C	28	39	34	53	38	61
YDR073W	118	152	143	205	157	191
YDR074W	434	543	575	506	439	430
YDR075W	44	56	63	52	52	43
YDR076W	9	12	12	10	13	10
YDR077W	650	600	727	914	800	1048
YDR078C	34	38	39	31	27	23
YDR079W	44	47	39	42	60	51
YDR079C-A	47	76	69	52	59	41
YDR080W	65	124	105	106	70	81
YDR081C	16	19	28	14	16	11
YDR082W	34	44	43	27	32	33
YDR083W	204	231	217	194	179	159
YDR084C	40	67	56	59	44	48
YDR085C	46	82	71	84	72	67
YDR086C	296	344	279	303	327	278
YDR087C	93	148	149	77	91	83
YDR088C	56	76	82	93	71	89
tR(ACG)D	0	0	0	0	0	0
YDR089W	15	14	16	8	8	12
YDR090C	21	23	24	18	22	13
YDR091C	40	60	48	50	44	48
YDR092W	98	121	98	133	116	105
YDR093W	74	101	119	63	54	74
YDR094W	0	0	0	0	0	0
YDR095C	1	0	0	0	0	1
YDR096W	75	104	132	90	70	76
YDR097C	35	45	58	56	27	41
YDR098C	56	66	53	68	47	48
tQ(UUG)D2	0	0	0	0	0	0
YDR098C-B	2	2	2	0	0	0
YDR098C-A	0	0	0	0	0	0
YDR099W	95	135	143	115	101	86
YDR100W	38	45	37	49	38	36
YDR101C	67	71	74	79	65	58
YDR102C	5	5	4	1	2	3
YDR103W	73	84	80	81	108	103
YDR104C	27	38	53	19	16	21
YDR105C	9	17	21	19	21	27
YDR106W	7	16	10	13	10	14
tI(AAU)D	0	0	1	0	0	0
YDR107C	42	84	70	61	49	63
YDR108W	22	30	29	17	18	17
YDR109C	12	22	21	14	3	12
YDR110W	67	105	110	62	39	57
YDR111C	21	22	38	12	15	12
YDR112W	0	0	0	0	0	0
YDR113C	37	52	46	45	42	38
YDR114C	0	0	0	0	0	0
YDR115W	57	63	75	56	41	47
YDR116C	138	232	190	182	134	170
YDR117C	40	50	70	53	32	36
YDR118W	4	10	10	4	6	12
YDR118W-A	0	0	1	0	0	0
YDR119W	72	103	102	76	62	50
YDR119W-A	39	51	55	34	31	31
YDR120C	55	64	76	48	51	32
YDR121W	77	105	102	96	98	80
YDR122W	51	86	108	81	50	44
YDR123C	16	14	19	14	22	16
YDR124W	6	9	4	9	10	8
YDR125C	58	107	86	61	40	35
YDR126W	10	7	12	17	18	12
YDR127W	77	109	135	63	60	62
YDR128W	30	56	56	39	35	39
YDR129C	160	177	222	189	144	162
YDR130C	55	84	81	69	69	77
YDR131C	10	21	14	7	11	13
YDR132C	20	34	29	20	28	14
YDR133C	58	70	70	71	71	73
YDR135C	63	64	88	63	61	65
YDR136C	2	3	1	2	0	1
YDR137W	33	58	63	39	44	32
YDR138W	39	50	63	29	20	26
YDR139C	27	37	29	36	25	19
YDR140W	35	45	34	58	67	59
YDR141C	81	97	100	66	56	49
YDR142C	10	15	22	18	9	11
YDR143C	37	62	69	60	38	50
YDR144C	12	27	25	18	17	12
YDR145W	129	133	155	173	163	144
YDR146C	18	26	26	22	16	23
YDR147W	22	32	26	25	20	21
YDR148C	49	69	64	49	49	49
YDR149C	0	0	0	0	0	0
YDR150W	155	180	216	139	118	131
YDR151C	76	76	71	81	79	71
YDR152W	203	311	273	251	199	200
YDR153C	96	101	118	77	47	41
YDR154C	12	22	14	12	26	19
YDR155C	245	300	251	293	251	257
YDR156W	120	137	104	135	122	110
YDR157W	15	14	13	6	17	29
YDR158W	644	1009	1047	771	550	703
YDR159W	56	83	81	90	66	72
YDR160W	21	39	29	22	32	29
YDR161W	27	60	54	63	48	46
YDR162C	160	262	253	165	135	168
YDR163W	108	112	128	79	61	91
YDR164C	20	19	20	22	25	24
YDR165W	87	83	72	75	83	67
YDR166C	43	52	61	26	29	24
YDR167W	114	126	121	67	80	75
YDR168W	133	161	187	131	108	92
YDR169C	34	34	47	35	32	41
YDR169C-A	2	0	1	5	2	6
YDR170C	357	447	568	432	318	348
tQ(UUG)D3	1	1	1	0	0	1
YDR170W-A	16	16	18	17	19	15
YDR171W	227	282	312	245	225	194
YDR172W	122	195	192	129	128	115
YDR173C	12	18	24	14	12	7
YDR174W	141	158	134	127	115	116
YDR175C	64	83	74	61	50	49
YDR176W	72	87	68	80	70	80
YDR177W	90	114	97	101	86	96
YDR178W	43	52	47	75	70	75
YDR179C	32	62	46	55	41	48
YDR179W-A	13	15	14	9	12	10
YDR180W	14	20	24	17	19	11
YDR181C	25	36	40	29	31	19
YDR182W	80	130	111	94	67	58
YDR182W-A	1	0	0	0	0	0
YDR183W	43	63	49	52	34	29
YDR183C-A	4	1	5	1	4	3
YDR184C	171	212	192	289	192	201
YDR185C	40	49	36	48	37	32
YDR186C	55	67	81	103	70	78
YDR187C	1	1	0	0	0	0
YDR188W	69	64	88	49	49	44
YDR189W	69	72	103	102	107	98
YDR190C	133	174	190	176	171	132
YDR191W	2	5	1	1	2	0
YDR192C	8	11	12	26	12	14
YDR193W	0	0	0	0	0	0
YDR194C	117	163	137	126	106	97
YDR194W-A	0	2	0	0	0	0
YDR195W	13	18	15	20	22	20
YDR196C	49	77	62	47	50	43
YDR197W	24	24	28	22	25	29
YDR198C	9	16	17	19	15	13
YDR199W	0	0	0	0	0	0
YDR200C	44	74	86	67	38	71
YDR201W	53	72	66	69	64	54
YDR202C	23	30	33	23	27	24
YDR203W	3	1	0	0	0	0
YDR204W	53	67	71	73	55	57
YDR205W	22	31	31	50	31	36
YDR206W	25	30	28	23	19	23
YDR207C	28	39	40	41	53	45
YDR208W	94	84	109	95	101	95
YDR209C	0	0	0	0	0	0
YDR210W	25	39	31	15	16	16
YDR210W-B	4	3	6	5	6	8
YDR210W-A	0	0	0	0	0	0
YDR210C-D	0	3	2	1	0	1
YDR210C-C	0	0	0	0	0	0
tI(UAU)D	0	0	1	0	0	0
YDR211W	35	37	39	37	42	33
YDR212W	60	82	87	43	44	40
YDR213W	83	121	116	142	96	105
YDR214W	61	97	108	80	78	88
YDR215C	0	1	0	0	0	1
YDR216W	70	118	128	134	86	144
YDR217C	32	53	61	54	38	44
YDR218C	1	2	0	2	1	2
YDR219C	8	9	9	4	9	7
YDR220C	6	6	7	3	3	0
YDR221W	37	61	70	38	31	31
YDR222W	24	40	37	20	29	18
YDR223W	22	20	25	33	22	25
YDR224C	208	240	214	193	221	201
YDR225W	241	404	347	264	251	219
YDR226W	101	133	125	133	124	93
YDR227W	33	33	40	40	30	21
YDR228C	18	25	20	22	21	16
YDR229W	62	71	69	73	61	66
YDR230W	1	0	2	2	3	2
YDR231C	15	21	24	22	17	13
YDR232W	33	49	65	47	44	37
YDR233C	220	253	229	406	305	333
YDR234W	28	55	34	52	46	35
YDR235W	38	52	36	44	41	40
YDR236C	31	63	55	51	55	55
YDR237W	34	39	29	38	38	27
YDR238C	82	105	126	92	66	79
YDR239C	33	50	38	45	47	43
YDR240C	25	31	26	30	27	21
YDR241W	33	71	53	26	28	29
tY(GUA)D	1	0	0	0	0	0
YDR242W	19	23	18	13	12	9
YDR243C	75	86	87	46	46	35
YDR244W	23	49	55	34	24	26
YDR245W	93	135	130	79	83	70
YDR246W	77	127	127	153	109	145
YDR246W-A	1	3	1	4	1	0
YDR247W	39	50	45	29	37	52
YDR248C	16	14	5	11	10	8
YDR249C	23	29	26	39	28	26
YDR250C	1	4	3	1	0	4
YDR251W	50	48	61	53	61	49
YDR252W	8	7	7	9	11	3
YDR253C	34	45	36	63	52	67
YDR254W	16	32	24	28	16	16
YDR255C	172	217	165	141	116	128
YDR256C	0	0	3	2	3	2
YDR257C	32	45	41	30	31	24
YDR258C	90	112	136	112	69	69
YDR259C	12	6	7	10	10	20
YDR260C	128	175	182	148	119	124
YDR261C	52	89	87	64	72	65
tS(AGA)D2	0	0	0	0	0	0
YDR261W-B	17	11	27	10	7	11
YDR261W-A	0	0	0	0	0	0
YDR261C-D	2	1	1	0	0	0
YDR261C-C	0	0	0	0	0	0
tG(GCC)D2	6	5	6	4	1	2
YDR262W	36	56	59	62	55	54
YDR263C	1	2	1	2	4	5
YDR264C	86	126	130	55	48	44
YDR265W	24	27	23	26	22	25
YDR266C	40	56	54	55	49	49
YDR267C	8	14	17	8	15	9
YDR268W	17	21	17	21	17	13
YDR269C	0	0	0	0	0	0
YDR270W	62	64	67	84	38	61
YDR271C	9	12	9	13	10	16
YDR272W	97	115	115	95	75	81
YDR273W	10	13	12	12	7	10
YDR274C	0	0	1	0	0	0
YDR275W	35	38	54	22	21	23
YDR276C	226	249	217	218	230	212
YDR277C	121	147	167	142	125	127
YDR278C	0	0	0	0	0	0
tE(CUC)D	0	0	0	0	0	0
YDR279W	20	21	20	25	22	17
YDR280W	119	157	161	138	138	123
YDR281C	48	49	47	19	16	18
YDR282C	17	23	28	14	14	20
YDR283C	63	81	71	72	51	70
YDR284C	13	24	19	12	9	9
YDR285W	23	34	27	17	12	11
YDR286C	10	5	10	4	7	2
YDR287W	33	36	45	29	33	37
YDR288W	41	57	44	29	26	32
YDR289C	76	99	89	103	86	105
YDR290W	0	0	0	0	0	0
YDR291W	24	54	62	26	28	20
YDR292C	51	39	64	52	46	51
YDR293C	76	100	122	50	49	42
YDR294C	130	209	223	214	171	173
YDR295C	18	29	34	48	33	38
YDR296W	65	82	69	77	83	73
YDR297W	46	49	56	52	42	38
YDR298C	33	26	29	25	16	21
YDR299W	392	403	465	469	339	372
YDR300C	28	44	50	62	59	38
YDR301W	36	54	67	34	24	26
YDR302W	33	55	42	44	40	43
YDR303C	18	22	21	22	17	18
YDR304C	158	265	259	212	184	205
YDR305C	10	10	12	7	10	6
YDR306C	47	49	56	47	54	52
tV(CAC)D	0	1	0	0	0	0
YDR307W	9	12	14	7	14	11
YDR308C	94	154	122	136	91	89
YDR309C	14	14	23	28	16	9
YDR310C	39	60	65	45	21	41
YDR311W	37	48	45	46	36	26
YDR312W	27	36	40	29	27	19
YDR313C	33	46	43	45	47	60
YDR314C	52	82	81	59	39	32
YDR315C	12	12	8	16	14	12
YDR316W	82	107	117	76	81	84
tF(GAA)D	0	0	1	1	1	0
YDR316W-B	9	9	11	2	2	1
YDR316W-A	0	0	0	0	0	0
YDR317W	8	9	6	4	13	6
YDR318W	118	185	160	247	133	151
YDR319C	23	32	41	16	25	18
YDR320C	33	44	31	41	43	44
YDR320C-A	15	10	9	7	15	10
YDR320W-B	1	1	0	0	0	0
YDR321W	47	53	43	39	59	32
YDR322W	39	49	44	43	34	43
YDR322C-A	37	80	75	40	39	46
YDR323C	30	38	49	28	26	31
YDR324C	54	50	73	41	28	18
YDR325W	24	38	40	24	23	21
YDR326C	33	62	63	34	20	36
YDR327W	1	0	0	0	1	1
YDR328C	123	158	135	101	93	99
YDR329C	52	88	89	54	37	50
YDR330W	38	68	69	62	40	41
YDR331W	11	23	20	12	12	20
YDR332W	22	18	29	27	18	15
YDR333C	58	75	70	62	47	53
YDR334W	58	52	96	35	30	45
YDR335W	88	75	85	69	72	81
YDR336W	17	33	24	22	16	18
YDR337W	60	107	82	68	61	52
YDR338C	35	55	47	46	32	28
YDR339C	95	109	90	107	86	67
tX(XXX)D	0	0	0	0	0	0
YDR340W	0	0	0	0	1	0
YDR341C	110	136	122	100	108	89
YDR342C	86	124	113	68	38	38
YDR343C	0	0	0	0	0	1
YDR344C	4	3	6	7	10	10
YDR345C	182	203	238	151	144	136
YDR346C	232	317	343	153	149	146
YDR347W	16	26	26	23	18	22
YDR348C	50	66	75	41	31	47
YDR349C	26	23	35	34	19	27
tM(CAU)D	0	0	0	0	0	0
YDR350C	41	66	51	59	40	37
YDR351W	29	40	49	38	30	40
YDR352W	11	16	13	21	13	20
YDR353W	98	100	92	139	113	98
YDR354W	34	45	51	42	33	27
YDR354C-A	0	0	0	0	0	0
YDR355C	0	0	0	0	0	0
YDR356W	38	70	75	60	40	47
YDR357C	26	46	22	56	33	41
YDR358W	52	84	66	36	42	44
YDR359C	46	64	60	44	32	33
YDR360W	0	0	0	0	0	0
YDR361C	105	166	138	67	83	60
YDR362C	20	30	30	18	17	22
YDR363W	41	41	45	33	17	24
tK(CUU)D1	0	0	0	0	0	0
YDR363W-A	273	327	289	242	231	209
YDR364C	36	54	54	27	37	28
YDR365C	195	292	352	235	184	198
YDR365W-A	0	0	0	0	0	0
YDR365W-B	5	3	7	3	2	2
YDR366C	3	5	5	2	1	2
YDR367W	8	21	19	27	19	30
YDR368W	16	20	24	13	19	19
YDR369C	14	18	26	13	14	18
YDR370C	32	40	35	23	25	24
YDR371W	111	139	117	98	95	96
