Geneid	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_2_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_1_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_3_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_3_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_2_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_1_Aligned.out_cleaned.bam
YMR029C	66	89	90	56	56	44
YMR030W	5	11	7	6	14	10
YMR031C	140	242	275	162	116	133
YMR031W-A	0	0	0	0	0	1
YMR032W	25	44	42	26	18	21
YMR030W-A	0	1	2	1	3	2
YMR033W	90	122	169	117	103	95
YMR034C	2	4	5	8	7	8
YMR035W	22	22	16	34	26	31
YMR036C	37	55	75	47	41	31
YMR037C	20	30	31	27	19	34
YMR038C	69	70	83	83	67	70
YMR039C	148	222	179	156	145	164
YMR040W	9	8	9	8	11	17
YMR041C	55	111	98	128	89	105
tF(GAA)M	0	0	0	0	0	0
YMR042W	28	43	21	36	49	29
YMR043W	201	271	253	260	165	170
YMR044W	304	447	451	362	288	324
YMR045C	10	15	22	11	8	9
YMR046C	0	0	0	0	0	0
YMR046W-A	0	0	0	0	0	0
tH(GUG)M	2	2	2	0	0	0
YMR047C	45	51	80	46	23	34
YMR048W	22	30	35	37	26	23
YMR049C	194	270	280	167	145	128
tV(AAC)M1	0	1	0	0	0	0
YMR050C	3	1	3	0	1	0
YMR051C	0	0	0	0	0	0
tW(CCA)M	0	0	0	0	0	0
YMR052W	17	15	12	13	8	12
YMR052C-A	0	0	0	0	0	1
YMR053C	19	29	29	18	18	13
YMR054W	62	87	85	97	59	85
YMR055C	3	12	12	10	5	7
YMR056C	6	8	11	15	8	8
YMR057C	0	0	0	1	0	0
YMR058W	225	334	388	268	241	173
YMR059W	25	46	35	33	24	31
YMR060C	11	25	29	18	21	18
YMR061W	83	145	134	108	87	107
YMR062C	62	79	93	55	66	54
YMR063W	5	4	5	3	3	3
YMR064W	33	53	65	31	39	28
YMR065W	7	12	10	6	8	2
YMR066W	39	58	50	44	39	38
YMR067C	39	51	47	56	56	62
YMR068W	14	13	16	9	7	5
YMR069W	3	7	3	7	7	2
YMR070W	95	92	102	120	76	108
YMR071C	58	62	66	65	51	48
YMR072W	101	115	112	121	128	101
YMR073C	17	18	28	23	22	25
YMR074C	46	73	61	45	43	53
YMR075W	39	49	31	24	22	23
YMR075C-A	0	0	0	0	0	0
YMR076C	16	21	28	13	10	15
tV(AAC)M2	1	0	1	0	1	0
YMR077C	56	71	87	36	52	38
YMR078C	45	57	72	43	32	43
YMR079W	102	128	121	146	131	136
YMR080C	45	56	64	47	54	49
YMR081C	96	137	123	161	120	144
YMR082C	1	0	0	2	2	1
YMR083W	75	90	110	54	62	48
YMR084W	5	15	16	15	10	11
YMR085W	10	24	29	10	2	2
YMR086W	25	41	45	33	31	26
YMR086C-A	3	4	2	1	2	2
YMR087W	29	42	42	21	34	31
YMR088C	4	16	15	20	12	11
YMR089C	172	206	232	183	170	166
YMR090W	11	36	18	26	26	16
YMR091C	437	517	577	442	377	310
YMR092C	14	18	23	15	12	14
YMR093W	64	57	57	78	63	66
YMR094W	18	25	18	16	19	13
YMR095C	2	3	0	0	1	4
YMR096W	9	21	20	18	11	14
YMR097C	16	31	25	11	17	13
YMR098C	36	39	56	43	28	22
tD(GUC)M	0	0	0	0	0	0
YMR099C	22	36	27	56	52	39
YMR100W	11	24	21	13	10	14
YMR101C	1	1	1	0	0	1
YMR102C	123	146	141	106	108	118
YMR103C	2	1	1	1	2	2
YMR104C	87	120	108	78	63	59
YMR105C	137	168	173	119	116	121
YMR105W-A	1	15	11	9	6	7
YMR106C	47	53	66	80	52	61
tK(CUU)M	0	0	0	0	0	0
YMR107W	8	23	31	19	19	14
YMR108W	109	113	151	102	88	70
YMR109W	121	158	183	80	73	68
YMR110C	49	79	69	74	57	67
YMR111C	102	143	125	180	108	137
YMR112C	104	104	107	114	93	82
YMR113W	8	18	12	15	10	9
YMR114C	82	155	158	97	95	81
YMR115W	43	53	55	43	44	55
YMR116C	101	94	113	95	99	106
snR24	1	4	7	1	1	0
YMR117C	72	113	83	75	72	74
YMR118C	1	0	0	2	0	0
tL(CAA)M	0	0	0	0	0	0
YMR119W	16	12	23	24	15	23
YMR119W-A	1	0	1	0	1	0
YMR120C	52	81	84	54	33	44
YMR121C	34	40	41	34	27	21
YMR122C	1	0	3	1	0	2
YMR122W-A	33	46	44	43	39	42
YMR123W	152	237	215	213	144	169
YMR124W	43	51	38	48	39	54
YMR125W	49	54	51	45	47	42
YMR126C	10	21	17	17	14	17
YMR127C	6	13	9	4	6	5
YMR128W	161	230	244	174	142	141
YMR129W	46	60	70	37	29	17
YMR130W	19	21	22	42	43	37
YMR131C	174	287	272	167	139	150
YMR132C	24	43	39	49	43	52
YMR133W	6	8	13	16	12	5
YMR134W	51	65	59	43	48	42
YMR135C	98	144	147	110	86	77
YMR135W-A	0	0	0	0	0	0
YMR136W	38	50	48	74	58	54
YMR137C	33	60	48	49	27	33
YMR138W	15	14	17	7	11	7
YMR139W	44	59	83	39	54	34
YMR140W	74	102	116	86	76	75
YMR141C	0	0	3	1	0	0
YMR142C	401	510	493	435	403	449
YMR141W-A	0	0	0	0	0	0
YMR143W	282	318	302	313	329	318
YMR144W	22	29	19	34	8	16
YMR145C	108	152	128	96	107	103
YMR146C	289	406	428	444	352	377
YMR147W	31	27	28	25	13	28
YMR148W	6	4	10	10	12	26
YMR149W	60	84	84	92	85	77
YMR150C	34	25	24	41	44	29
YMR151W	3	9	6	10	9	6
YMR152W	37	64	48	45	27	38
YMR153W	16	25	23	13	22	19
YMR153C-A	0	1	0	1	0	0
YMR154C	13	28	19	23	19	23
YMR155W	0	2	5	2	2	3
YMR156C	28	45	37	23	25	27
YMR157C	34	28	29	33	31	34
YMR158W	69	97	82	125	81	86
tM(CAU)M	0	0	0	0	0	0
YMR158C-A	0	0	0	1	1	0
YMR158W-B	1	1	1	0	1	0
YMR159C	27	41	31	39	40	15
YMR160W	44	54	63	37	31	39
YMR161W	83	131	129	86	63	64
YMR162C	22	49	52	37	25	32
YMR163C	15	15	20	21	16	21
tV(AAC)M3	0	0	0	0	0	0
YMR164C	24	21	23	17	17	12
YMR165C	49	56	58	37	44	55
YMR166C	47	56	51	96	68	78
YMR167W	18	19	23	11	14	13
YMR168C	39	60	56	47	32	28
YMR169C	32	45	44	50	48	46
YMR170C	3	5	2	0	3	1
YMR171C	28	34	57	29	25	25
YMR172W	25	39	35	30	30	24
YMR172C-A	0	0	0	0	0	0
YMR173W	250	310	316	243	176	177
YMR173W-A	0	0	2	2	0	0
YMR174C	8	15	7	13	14	15
YMR175W	6	15	9	9	8	9
YMR175W-A	0	0	0	0	0	0
YMR176W	33	42	47	43	38	33
YMR177W	12	12	20	10	11	10
YMR178W	45	58	50	47	49	37
YMR179W	19	38	27	42	37	40
YMR180C	36	40	32	40	41	61
YMR181C	94	103	108	150	134	134
YMR182C	20	17	13	30	20	31
YMR182W-A	2	5	6	0	5	1
snR83	56	58	68	46	42	48
YMR183C	336	507	476	424	329	339
YMR184W	14	30	34	35	26	29
YMR185W	18	28	27	21	21	13
YMR186W	744	866	1065	356	350	306
YMR187C	4	1	4	3	2	3
YMR188C	79	79	85	42	48	40
YMR189W	49	67	79	72	70	59
YMR190C	45	54	59	31	23	28
YMR191W	49	83	61	69	53	65
YMR192W	74	82	76	73	78	81
YMR193W	85	124	121	132	90	89
YMR193C-A	0	0	0	0	0	0
YMR194W	286	376	324	337	326	298
snR11	25	31	29	34	26	27
YMR194C-B	26	60	29	24	32	47
YMR194C-A	23	36	20	19	12	21
YMR195W	136	185	171	230	197	406
YMR196W	77	92	110	49	47	46
YMR197C	139	195	173	159	128	127
YMR198W	21	29	32	20	8	19
YMR199W	20	23	33	34	39	31
YMR200W	42	62	73	26	32	28
YMR201C	37	46	47	47	37	26
RNA170	3	0	3	0	2	0
YMR202W	67	108	83	141	78	90
YMR203W	62	76	70	68	56	74
YMR204C	9	6	12	8	11	8
YMR205C	283	249	289	266	240	242
YMR206W	13	23	18	17	12	14
YMR207C	23	33	38	11	18	15
YMR208W	27	21	27	17	27	29
YMR209C	57	101	79	78	40	56
YMR210W	21	33	30	20	18	12
YMR211W	12	14	14	20	13	13
YMR212C	36	65	67	43	32	37
YMR213W	21	46	30	31	26	41
YMR214W	74	80	78	58	68	52
YMR215W	11	26	20	18	23	23
YMR216C	49	48	58	58	48	40
YMR217W	187	208	202	207	191	208
YMR218C	54	63	91	31	34	40
YMR219W	126	208	248	186	99	130
YMR220W	33	46	35	41	45	35
YMR221C	14	20	17	26	21	16
YMR222C	24	44	27	44	41	51
YMR223W	10	14	19	18	10	19
YMR224C	13	14	18	12	13	13
YMR225C	42	50	58	57	54	50
YMR226C	80	111	107	112	114	95
YMR227C	57	60	79	39	37	34
YMR228W	10	9	16	11	8	11
YMR229C	207	281	416	154	102	127
YMR230W	311	361	328	311	328	258
YMR230W-A	0	0	0	0	0	0
YMR231W	12	14	21	14	2	9
YMR232W	2	3	6	3	2	6
YMR233W	53	79	61	64	60	54
YMR234W	20	28	24	12	7	11
YMR235C	118	198	248	75	56	92
YMR236W	46	59	47	60	55	57
YMR237W	67	97	86	83	71	65
YMR238W	16	27	25	17	18	19
tR(UCU)M1	0	0	0	0	0	0
YMR239C	67	124	105	73	86	99
YMR240C	38	51	62	30	29	42
YMR241W	26	31	31	21	20	16
YMR242C	376	457	427	477	473	441
YMR242W-A	0	0	0	0	1	0
YMR243C	55	59	74	81	89	68
YMR244W	1	0	0	0	0	1
YMR244C-A	95	131	109	112	117	68
YMR245W	0	2	1	3	7	7
YMR246W	118	137	165	111	101	108
snR86	554	688	892	307	332	271
YMR247C	32	33	41	36	36	27
tA(AGC)M2	0	0	0	0	0	0
YMR247W-A	0	0	0	0	0	0
YMR250W	41	52	56	44	32	32
YMR251W	28	42	33	38	43	39
YMR251W-A	231	290	222	160	251	182
YMR252C	11	17	20	39	23	32
YMR253C	38	57	42	53	36	35
YMR254C	3	4	1	7	6	8
YMR255W	141	170	138	126	109	90
YMR256C	29	28	28	43	27	26
YMR257C	17	14	7	7	10	18
YMR258C	31	40	36	24	35	29
YMR259C	32	48	54	52	30	35
YMR260C	236	286	273	221	242	199
YMR261C	44	49	54	45	41	36
YMR262W	44	65	50	52	51	44
YMR263W	37	57	45	36	42	34
YMR264W	34	56	48	54	51	50
YMR265C	63	88	90	83	56	71
YMR266W	83	92	104	112	91	94
YMR267W	43	48	49	31	34	26
YMR268C	11	16	21	12	12	17
YMR269W	278	283	297	298	324	269
YMR270C	34	43	48	37	27	24
YMR271C	5	12	13	16	6	7
tQ(CUG)M	0	1	0	2	1	1
YMR272C	34	37	37	36	24	26
YMR272W-A	0	0	0	0	0	0
YMR272W-B	0	0	0	0	0	0
YMR273C	66	75	96	60	47	49
YMR274C	5	7	4	10	14	8
YMR275C	14	21	40	21	14	25
YMR276W	67	88	76	68	81	55
YMR277W	55	62	77	67	42	53
YMR278W	12	16	18	13	10	22
YMR279C	1	0	0	0	0	0
YMR280C	19	25	36	22	19	29
YMR281W	31	36	38	34	47	43
YMR282C	9	19	22	18	16	12
YMR283C	44	67	64	50	33	40
tY(GUA)M2	0	1	0	0	0	0
YMR284W	57	91	79	77	75	83
YMR285C	51	54	57	55	52	48
YMR286W	66	95	60	39	56	56
YMR287C	19	20	23	13	12	20
YMR288W	13	17	28	16	15	10
YMR289W	37	50	52	35	32	24
YMR290C	90	134	136	81	71	64
YMR290W-A	1	0	0	0	0	0
YMR291W	176	222	235	197	166	165
YMR292W	15	10	9	11	16	14
YMR293C	22	42	31	22	16	19
YMR294W	73	131	113	70	81	51
YMR294W-A	0	1	0	0	0	1
YMR295C	87	140	145	90	106	90
YMR296C	153	162	189	213	170	218
YMR297W	83	100	84	75	82	78
YMR298W	46	57	45	57	61	42
YMR299C	21	29	26	26	23	35
YMR300C	26	28	42	34	23	23
YMR301C	43	53	51	51	41	51
YMR302C	28	45	45	46	41	49
YMR303C	1	3	1	2	4	3
YMR304W	69	91	89	59	52	54
YMR304C-A	2	1	3	1	1	0
YMR305C	74	64	80	123	117	125
YMR306W	3	6	4	6	1	2
YMR306C-A	5	3	5	5	1	2
YMR307W	154	165	193	160	159	155
YMR307C-A	0	0	0	0	0	0
YMR308C	91	125	139	118	85	98
YMR309C	77	95	128	96	75	82
YMR310C	36	40	53	180	55	50
YMR311C	319	399	362	339	262	300
YMR312W	52	59	58	57	51	39
YMR313C	22	19	34	14	23	12
YMR314W	164	152	171	155	152	161
YMR315W	80	108	129	107	82	73
YMR315W-A	0	3	2	2	1	4
YMR316W	88	96	102	83	64	85
YMR316C-A	0	0	0	0	1	1
YMR316C-B	0	0	1	0	0	0
YMR317W	10	3	8	6	12	7
YMR318C	64	99	87	80	72	71
YMR319C	79	108	112	112	108	118
YMR320W	8	3	6	2	0	2
YMR321C	0	0	0	0	0	0
YMR322C	0	0	0	0	0	0
YMR323W	0	0	0	1	0	0
YMR324C	0	0	0	0	0	0
YMR325W	0	0	0	0	0	0
YMR326C	0	0	0	0	0	0
YBL113C	4	4	9	5	2	4
YBL113W-A	0	0	0	0	1	0
YBL112C	0	0	0	0	0	0
YBL111C	0	0	0	0	0	0
YBL109W	0	0	1	0	0	0
YBL108C-A	1	0	0	1	2	1
YBL108W	0	1	0	1	1	0
YBL107W-A	0	0	0	0	0	0
tL(UAA)B1	1	0	0	0	0	0
YBL107C	88	117	100	120	90	82
YBL106C	25	30	33	24	13	21
YBL105C	123	163	175	180	123	126
YBL104C	8	9	8	8	7	7
YBL103C	68	82	106	119	84	84
YBL102W	41	70	49	50	43	42
YBL101C	51	91	73	76	50	49
YBL100W-C	1	5	3	3	3	2
YBL100W-A	0	0	0	0	0	0
YBL100W-B	2	10	5	2	1	1
tF(GAA)B	0	0	0	0	0	0
YBL100C	0	0	0	0	0	0
YBL099W	49	59	62	35	38	41
YBL098W	18	33	26	24	22	26
YBL097W	34	48	57	42	33	38
YBL096C	0	0	0	0	0	0
YBL095W	11	14	13	17	16	19
YBL094C	0	0	0	0	0	0
YBL093C	103	148	147	131	132	130
YBL092W	530	669	586	554	503	479
YBL091C-A	151	195	219	178	141	164
YBL091C	280	322	344	214	208	160
YBL090W	31	53	50	46	43	45
YBL089W	17	14	19	18	19	18
YBL088C	31	57	59	33	34	34
YBL087C	83	118	98	98	96	72
YBL086C	74	176	151	142	99	138
YBL085W	129	167	190	170	147	132
YBL084C	20	22	30	24	22	40
YBL083C	0	0	0	0	0	0
YBL082C	4	11	9	7	6	8
YBL081W	57	54	68	75	81	92
YBL080C	49	59	57	54	43	48
YBL079W	73	85	104	67	63	51
YBL078C	89	120	87	83	76	86
YBL077W	0	0	0	0	0	1
YBL076C	153	163	240	113	155	99
YBL075C	13	22	40	7	9	10
YBL074C	15	23	14	11	10	10
YBL073W	0	1	0	0	0	0
snR56	1	0	3	0	2	1
YBL072C	371	461	463	393	348	276
YBL071C-B	2	3	1	1	1	1
YBL071W-A	69	88	65	86	85	68
YBL071C	0	0	1	1	0	0
YBL070C	0	0	0	0	0	0
YBL069W	53	79	67	47	44	44
YBL068W-A	0	0	0	0	0	0
YBL068W	44	54	45	41	44	33
YBL067C	27	25	40	29	18	27
YBL066C	39	40	40	45	51	46
YBL065W	0	0	0	0	0	0
YBL064C	38	47	48	45	62	37
YBL063W	16	12	20	14	12	8
YBL062W	0	0	0	0	0	0
YBL061C	22	33	31	27	28	24
YBL060W	22	32	39	35	34	32
YBL059C-A	105	161	137	93	78	66
YBL059W	23	26	27	44	20	25
YBL058W	121	154	147	61	56	70
YBL057C	55	79	64	44	39	31
YBL056W	54	69	65	36	50	37
YBL055C	31	40	39	58	44	41
YBL054W	57	90	100	64	59	45
YBL053W	0	0	0	0	0	0
YBL052C	37	47	55	33	20	25
YBL051C	111	115	119	101	115	97
YBL050W	122	201	189	163	142	148
YBL049W	3	1	2	1	0	0
YBL048W	1	0	2	0	0	1
YBL047C	184	275	337	306	198	276
YBL046W	47	65	94	51	61	47
YBL045C	44	74	69	99	79	104
YBL044W	0	0	0	1	6	1
YBL043W	7	12	10	14	9	13
YBL042C	32	53	39	48	49	38
YBL041W	142	162	160	156	140	137
YBL040C	80	85	106	80	78	69
YBL039W-B	17	18	10	26	14	15
YBL039C	120	121	131	114	110	115
YBL039C-A	0	0	0	0	0	0
YBL038W	42	59	53	44	42	46
YBL037W	47	104	76	84	56	62
YBL036C	61	86	96	62	46	53
YBL035C	13	16	12	11	7	6
YBL034C	10	20	25	14	11	13
YBL033C	76	86	88	69	68	56
YBL032W	106	180	180	165	121	124
YBL031W	29	36	37	50	41	41
YBL030C	195	235	212	279	215	235
YBL029C-A	69	54	66	92	80	77
YBL029W	16	20	19	9	14	8
YBL028C	158	248	189	99	101	60
YBL027W	575	795	741	633	559	557
YBL026W	30	50	37	41	38	33
YBL025W	31	51	45	27	13	23
YBL024W	101	151	168	124	80	82
YBL023C	36	41	42	34	25	29
YBL022C	66	112	95	92	80	67
YBL021C	19	24	31	32	25	22
YBL020W	33	53	61	67	46	54
YBL019W	20	34	34	30	30	23
YBL018C	22	35	24	25	15	18
YBL017C	116	150	187	102	90	111
YBL016W	44	35	37	56	44	36
YBL015W	25	33	28	32	20	31
tI(AAU)B	0	0	0	0	0	0
tG(GCC)B	0	0	0	0	0	0
YBL014C	27	37	35	32	26	25
YBL013W	14	18	17	20	5	13
YBL012C	0	0	0	0	0	0
YBL011W	88	84	105	81	45	50
YBL010C	23	39	32	23	27	23
YBL009W	7	18	11	15	11	11
YBL008W-A	1	1	1	1	0	0
YBL008W	54	74	66	68	47	52
YBL007C	69	118	145	71	52	54
YBL006C	72	59	64	70	79	70
YBL006W-A	2	1	0	3	0	2
YBL005W	37	41	41	53	53	53
YBL005W-B	29	24	45	14	9	6
YBL005W-A	0	0	0	0	0	0
tS(AGA)B	0	0	0	0	0	0
YBL004W	139	188	249	131	110	112
YBL003C	220	270	231	191	229	212
YBL002W	238	332	334	225	203	216
YBL001C	138	198	172	137	116	98
YBR001C	51	55	50	67	54	59
YBR002C	56	75	75	68	47	62
YBR003W	28	38	40	45	35	33
YBR004C	28	27	32	38	31	30
YBR005W	29	39	37	28	42	42
YBR006W	53	101	92	68	63	56
YBR007C	41	52	40	54	45	40
YBR008C	13	14	11	23	17	18
YBR009C	208	259	228	211	227	182
YBR010W	93	99	92	70	92	62
YBR011C	296	380	368	442	321	379
YBR012C	0	1	1	2	1	0
YBR012W-B	6	7	7	5	8	3
YBR012W-A	0	0	0	0	0	0
YBR013C	4	4	9	5	7	6
tT(AGU)B	0	0	0	0	0	0
YBR014C	97	104	113	137	89	82
YBR015C	92	135	128	89	64	68
YBR016W	179	201	188	322	177	206
YBR017C	63	107	124	84	53	89
YBR018C	3	5	2	9	8	10
YBR019C	2	3	0	3	1	2
YBR020W	1	1	1	1	1	0
YBR021W	3	5	6	10	7	11
YBR022W	31	44	37	43	42	33
YBR023C	47	65	78	54	42	52
YBR024W	8	25	20	16	16	20
YBR025C	214	296	286	239	216	179
YBR026C	33	40	36	33	39	29
YBR027C	0	0	0	1	1	0
YBR028C	54	87	77	68	67	69
YBR029C	11	13	15	18	16	19
YBR030W	23	45	35	33	28	19
YBR031W	142	173	164	169	163	135
YBR032W	0	0	0	0	0	0
YBR033W	13	23	15	18	13	20
YBR034C	37	55	63	26	41	39
YBR035C	46	44	48	55	39	36
snR161	3	8	5	9	2	6
YBR036C	21	36	39	24	34	35
YBR037C	59	76	87	70	44	44
YBR038W	70	66	66	109	114	123
YBR039W	140	164	159	127	129	111
YBR040W	0	0	0	0	0	0
YBR041W	14	25	26	13	12	13
YBR042C	10	16	11	13	8	8
YBR043C	68	70	70	62	34	53
YBR044C	43	65	50	76	66	61
tV(UAC)B	0	0	0	0	1	0
YBR045C	5	8	13	9	7	7
YBR046C	64	84	75	94	60	45
YBR047W	62	89	62	58	62	53
YBR048W	882	1359	1250	1448	1004	960
YBR049C	46	77	75	33	40	35
YBR050C	30	53	37	51	49	36
YBR051W	0	1	0	0	0	0
YBR052C	55	84	76	52	51	57
YBR053C	58	105	91	66	54	65
YBR054W	37	42	57	48	45	41
YBR055C	55	76	71	88	60	44
tL(UAA)B2	0	1	1	0	0	0
YBR056W	33	47	38	29	41	32
tQ(UUG)B	1	0	0	0	0	0
YBR056W-A	15	30	20	20	11	23
YBR056C-B	1	2	2	2	3	2
YBR057C	25	22	29	32	32	34
YBR058C	24	36	30	35	28	21
YBR058C-A	68	99	93	61	61	44
YBR059C	97	150	161	107	103	97
YBR060C	72	88	70	98	73	72
YBR061C	39	43	66	50	49	39
YBR062C	29	37	50	33	32	28
YBR063C	3	6	7	2	1	1
YBR064W	0	0	0	0	0	0
YBR065C	39	44	51	43	46	26
YBR066C	64	87	65	59	64	43
YBR067C	211	218	201	415	296	447
YBR068C	267	395	406	276	211	209
YBR069C	43	62	49	33	55	39
YBR070C	17	23	20	17	16	19
YBR071W	60	92	71	109	55	69
YBR072W	34	63	46	60	35	45
YBR072C-A	2	3	1	3	1	2
YBR073W	69	72	67	71	70	73
YBR074W	81	110	113	95	81	89
YBR076W	0	2	0	9	7	7
YBR076C-A	3	10	5	8	7	11
YBR077C	30	46	41	41	32	29
YBR078W	98	100	128	121	137	116
YBR079C	106	156	200	75	82	72
YBR080C	78	120	121	100	62	75
YBR081C	90	108	123	114	72	79
tR(UCU)B	0	0	0	0	0	0
tD(GUC)B	1	0	0	0	0	0
YBR082C	678	731	681	933	758	775
YBR083W	80	144	116	109	71	102
YBR084W	111	110	117	90	70	76
YBR084C-A	483	736	714	660	548	488
YBR085W	3	7	6	2	1	0
YBR085C-A	78	111	83	92	86	65
YBR086C	43	55	56	53	38	41
YBR087W	11	14	9	8	11	16
YBR088C	16	25	28	21	14	10
YBR089W	0	0	0	0	0	0
YBR089C-A	32	55	55	43	29	39
YBR090C	57	73	60	49	44	39
YBR091C	9	10	11	12	10	19
YBR092C	25	25	43	39	25	29
YBR093C	2	3	4	2	2	2
YBR094W	17	21	32	18	21	19
YBR095C	35	47	50	43	38	35
YBR096W	13	23	14	5	14	8
YBR097W	15	29	29	19	15	23
YBR098W	24	32	31	43	21	21
YBR099C	0	0	0	0	1	0
YBR101C	55	79	88	63	57	55
YBR102C	60	77	78	67	65	64
YBR103W	21	31	31	20	20	15
YBR103C-A	0	1	0	0	1	0
YBR104W	44	61	70	36	34	24
YBR105C	108	166	148	177	138	179
YBR106W	136	162	117	102	109	73
YBR107C	13	18	19	31	19	24
YBR108W	96	136	134	98	91	104
YBR109C	127	167	155	140	120	121
YBR109W-A	1	2	2	1	2	0
YBR110W	66	108	95	63	56	51
YBR111C	123	184	183	119	130	112
YBR111W-A	52	69	55	49	52	39
YBR112C	129	212	249	128	96	119
YBR113W	1	1	1	1	2	3
YBR114W	173	246	222	251	189	175
YBR115C	75	113	137	136	100	103
YBR116C	0	0	0	0	0	0
YBR117C	0	3	5	1	1	0
YBR118W	534	740	664	460	461	376
YBR119W	38	46	68	67	64	57
YBR120C	47	77	60	51	36	48
YBR121C	454	613	567	439	462	390
YBR121C-A	0	0	0	0	0	0
YBR122C	280	372	368	293	263	256
YBR123C	32	46	45	30	35	21
YBR124W	0	0	0	0	0	1
YBR125C	42	72	76	67	45	46
YBR126C	312	411	480	255	212	215
YBR126W-A	29	32	24	22	32	24
YBR126W-B	0	0	1	0	0	0
YBR127C	350	428	449	393	354	320
YBR128C	21	18	19	9	4	12
YBR129C	11	6	13	8	13	7
YBR130C	65	85	74	73	52	56
YBR131W	17	34	31	10	10	11
YBR131C-A	0	0	0	0	0	0
YBR132C	5	27	17	10	15	12
YBR133C	29	45	39	35	35	43
YBR134W	4	7	5	4	0	2
YBR135W	50	86	82	61	57	66
YBR136W	17	34	24	28	23	23
YBR137W	20	26	22	20	22	21
YBR138C	8	19	17	12	11	12
YBR139W	101	99	90	91	85	96
YBR140C	59	94	105	64	44	59
YBR141C	32	46	45	34	25	23
YBR141W-A	6	7	6	5	8	13
YBR142W	80	107	98	64	66	48
YBR143C	236	296	352	217	197	198
YBR144C	5	11	4	8	4	9
YBR145W	22	32	32	26	27	40
YBR146W	104	121	105	82	81	70
YBR147W	63	133	123	106	80	80
YBR148W	7	5	8	7	3	9
YBR149W	73	103	92	86	114	76
YBR150C	36	49	53	22	32	33
YBR151W	115	148	128	126	94	102
YBR152W	19	24	29	41	32	20
YBR153W	11	19	11	16	12	10
YBR154C	107	161	158	112	96	86
YBR155W	50	66	52	54	50	48
YBR156C	45	84	50	65	38	54
YBR157C	28	34	43	41	41	41
YBR158W	85	116	101	77	67	91
YBR159W	41	44	44	35	30	40
YBR160W	18	39	20	27	23	24
YBR161W	25	37	33	31	30	25
YBR162C	61	92	81	52	77	59
YBR162W-A	209	297	246	187	164	153
YBR163W	54	55	44	76	58	70
YBR164C	32	45	48	31	39	33
YBR165W	22	36	40	40	30	27
YBR166C	68	72	98	59	59	73
YBR167C	27	39	25	31	28	29
YBR168W	13	7	9	7	14	11
YBR169C	72	113	126	95	67	66
YBR170C	55	63	55	65	48	38
YBR171W	178	233	248	192	176	155
YBR172C	55	44	63	32	30	29
YBR173C	104	111	99	101	100	123
YBR174C	0	0	0	0	0	0
YBR175W	12	9	20	6	10	12
YBR176W	2	3	4	5	2	1
YBR177C	23	39	47	27	34	32
YBR178W	0	0	1	1	0	0
YBR179C	39	54	53	48	36	54
YBR180W	0	0	0	0	0	0
YBR181C	403	458	436	493	434	371
YBR182C	2	3	8	6	4	6
YBR182C-A	0	0	0	1	0	2
YBR183W	46	51	48	40	41	36
YBR184W	5	22	22	8	10	8
YBR185C	6	15	14	13	11	8
YBR186W	3	3	3	3	2	3
YBR187W	22	36	46	26	33	30
YBR188C	19	27	26	39	37	47
YBR189W	370	439	443	451	455	413
YBR190W	11	9	12	6	5	4
YBR191W	338	353	368	388	384	355
YBR191W-A	4	7	2	3	7	6
YBR192W	18	22	20	15	17	16
YBR193C	41	71	62	69	38	60
YBR194W	21	21	13	30	21	23
YBR195C	33	56	56	65	55	44
YBR196C	127	161	156	148	105	121
YBR196C-A	1	0	0	0	0	0
YBR196C-B	0	0	0	1	2	1
YBR197C	38	59	47	55	36	43
YBR198C	101	110	116	129	102	125
YBR199W	106	178	156	141	125	135
YBR200W	17	24	26	18	20	14
YBR200W-A	0	0	0	0	0	0
YBR201W	53	68	67	52	50	52
YBR201C-A	15	20	15	20	17	15
YBR202W	24	25	35	36	20	26
YBR203W	14	27	24	31	31	26
YBR204C	19	29	21	13	10	10
YBR205W	42	64	60	44	43	43
YBR206W	10	13	12	9	9	12
YBR207W	20	43	38	31	36	32
YBR208C	50	65	64	70	69	74
YBR209W	0	0	1	0	0	0
tC(GCA)B	0	0	0	0	0	0
tE(UUC)B	0	0	0	0	0	0
YBR210W	31	35	36	52	39	30
YBR211C	26	22	46	25	21	36
YBR212W	38	37	52	54	53	60
YBR213W	6	24	20	32	17	22
YBR214W	102	125	115	160	103	115
YBR215W	43	28	42	68	59	65
YBR216C	49	81	69	45	45	32
YBR217W	49	66	55	61	34	41
YBR218C	125	130	155	81	80	60
YBR219C	3	4	1	3	3	3
YBR220C	16	15	18	14	25	6
