Geneid	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_01_S288C_1_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_03_S288C_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_02_S288C_2_Aligned.sortedByCoord.out.bam
YGR189C	2788	2343	2439
tW(CCA)G2	2	0	0
YGR190C	3	5	3
YGR191W	2411	2236	2250
YGR192C	153461	145756	147485
YGR193C	1455	1253	1255
YGR194C	1358	1214	1170
YGR195W	862	747	825
YGR196C	659	635	570
YGR197C	488	386	447
YGR198W	1587	1520	1449
YGR199W	810	738	695
YGR200C	1187	1184	1246
YGR201C	385	353	369
YGR202C	1595	1342	1297
YGR203W	167	137	148
YGR204W	4614	4207	3939
YGR204C-A	15	13	14
YGR205W	1024	869	872
YGR206W	247	199	219
YGR207C	1288	1195	1065
YGR208W	491	416	378
YGR209C	2539	2360	2299
YGR210C	1417	1295	1303
YGR211W	2860	3072	2973
YGR212W	192	165	186
YGR213C	30	33	38
YGR214W	11194	10675	11066
YGR215W	371	272	332
YGR216C	567	522	569
YGR217W	323	267	282
tG(GCC)G2	2	0	0
YGR218W	2981	2922	2659
YGR219W	2	0	1
YGR220C	758	604	652
YGR221C	164	164	152
snR7-L	2	1	2
snR7-S	0	0	0
YGR222W	436	374	394
YGR223C	728	638	621
YGR224W	6	8	6
YGR225W	35	43	33
YGR226C	0	0	0
YGR227W	431	323	360
YGR228W	2	4	3
YGR229C	2862	2601	2568
YGR230W	193	156	163
YGR231C	1868	1718	1559
YGR232W	595	479	518
YGR233C	648	520	573
YGR234W	4008	3965	3988
YGR235C	914	784	762
YGR236C	80	52	58
YGR237C	1612	1385	1320
YGR238C	274	274	262
YGR239C	326	304	271
YGR240C	12036	11225	11366
YGR240C-A	6	4	9
YGR241C	1342	1104	1109
YGR242W	2	1	1
YGR243W	1572	1157	1175
YGR244C	2702	2243	2226
YGR245C	2063	2041	2058
YGR246C	757	771	700
YGR247W	438	401	423
YGR248W	1436	1216	1199
YGR249W	1080	945	925
YGR250C	4114	4181	3985
YGR251W	320	265	274
YGR252W	749	748	780
YGR253C	2664	2349	2364
YGR254W	28610	27516	27445
YGR255C	982	872	775
tT(UGU)G2	0	0	0
YGR256W	164	119	124
YGR257C	750	617	620
YGR258C	716	653	638
YGR259C	2	2	2
YGR260W	4260	3971	3873
YGR261C	1303	1266	1114
YGR262C	671	554	617
YGR263C	280	259	256
YGR264C	4781	4707	4562
YGR265W	0	1	0
YGR266W	913	804	798
YGR267C	2095	1744	1726
YGR268C	557	528	494
YGR269W	25	17	16
YGR270W	1871	1743	1768
YGR270C-A	0	0	0
YGR271W	827	805	741
YGR271C-A	635	594	551
YGR273C	0	0	0
YGR274C	640	494	543
YGR275W	469	408	502
YGR276C	855	799	745
YGR277C	384	391	320
YGR278W	406	375	329
YGR279C	5681	5196	5651
YGR280C	1688	1397	1575
YGR281W	1369	1211	1198
YGR282C	9414	8843	8793
YGR283C	543	524	470
YGR284C	1426	1403	1472
YGR285C	8492	8028	8220
YGR286C	926	757	750
YGR287C	283	311	318
YGR288W	423	381	333
YGR289C	1038	879	904
YGR290W	0	0	0
YGR291C	1	0	1
YGR292W	104	61	79
YGR293C	0	1	1
YGR294W	20	10	16
YGR295C	1769	1554	1608
YGR296W	1	0	0
YGR296C-A	0	0	0
YGR296C-B	0	0	0
YLL067C	0	1	0
YLL067W-A	0	0	0
YLL066W-B	0	0	0
YLL066C	0	1	1
YLL066W-A	0	0	0
YLL065W	0	0	0
YLL064C	0	0	2
YLL063C	210	171	172
YLL062C	197	168	161
YLL061W	504	360	414
YLL060C	265	260	241
YLL059C	97	85	81
YLL058W	667	622	661
YLL057C	78	75	72
YLL056C	157	145	153
YLL055W	419	372	380
YLL054C	249	253	248
YLL053C	28	33	27
YLL052C	51	29	22
YLL051C	967	874	893
YLL050C	4446	4020	3985
YLL049W	284	286	294
YLL048C	2285	2376	2289
YLL047W	11	17	12
YLL046C	21	11	11
YLL045C	23387	21363	21633
YLL044W	10	14	12
YLL043W	1716	1497	1466
YLL042C	47	57	71
YLL041C	1319	1125	1077
YLL040C	1498	1335	1327
YLL039C	4216	3774	3660
YLL038C	382	344	322
YLL037W	24	21	24
YLL036C	917	839	839
YLL035W	304	260	284
YLL034C	655	654	636
YLL033W	132	115	95
YLL032C	401	412	344
YLL031C	966	881	907
YLL030C	0	2	1
YLL029W	2601	2082	2292
YLL028W	142	130	149
YLL027W	1509	1191	1223
YLL026W	19101	18552	17644
tP(UGG)L	1	0	0
YLL025W	49	42	49
YLL024C	6966	6770	6638
YLL023C	1209	891	1058
YLL022C	518	436	465
YLL021W	929	888	930
YLL020C	39	29	34
YLL019C	735	598	630
YLL019W-A	0	0	0
YLL018C-A	512	422	433
YLL018C	8375	5979	6575
YLL017W	10	11	5
YLL016W	478	402	409
YLL015W	1325	1242	1278
YLL014W	580	473	548
YLL013C	350	314	309
YLL012W	263	211	224
YLL011W	424	370	359
YLL010C	782	566	690
YLL009C	294	252	264
YLL008W	2311	2186	2268
YLL007C	387	354	348
YLL006W-A	0	0	1
YLL006W	474	420	409
YLL005C	3	2	2
YLL004W	259	246	205
YLL003W	477	473	471
YLL002W	230	204	221
YLL001W	862	732	783
YLR001C	600	592	585
YLR002C	1188	1133	1106
YLR003C	805	803	754
YLR004C	55	36	34
YLR005W	834	682	642
YLR006C	761	610	660
YLR007W	483	467	421
YLR008C	658	595	606
YLR009W	1550	1388	1453
YLR010C	106	87	105
tS(AGA)L	0	0	0
YLR011W	141	123	129
YLR012C	5	4	2
YLR013W	2	0	3
YLR014C	171	185	183
YLR015W	392	356	341
YLR016C	508	403	381
YLR017W	1310	1228	1183
YLR018C	555	512	516
YLR019W	646	487	518
YLR020C	580	605	551
YLR021W	358	365	377
YLR022C	658	583	564
YLR023C	1709	1426	1374
YLR024C	532	560	472
YLR025W	1376	1143	1135
YLR026C	704	569	617
YLR027C	5321	4781	4789
snR30	1077	1007	895
YLR028C	4376	4123	4145
YLR029C	33616	30767	31472
YLR030W	69	68	65
YLR031W	82	65	53
YLR032W	464	418	427
YLR033W	942	867	869
YLR034C	845	733	738
YLR035C	284	283	261
tA(UGC)L	0	0	0
YLR035C-A	3	5	2
YLR036C	350	250	263
YLR037C	91	45	54
YLR038C	672	505	573
YLR039C	697	660	576
YLR040C	261	228	200
YLR041W	20	19	21
YLR042C	121	99	107
YLR043C	2064	1884	1839
YLR044C	138107	81351	104207
YLR045C	815	704	711
YLR046C	195	170	182
YLR047C	371	275	327
YLR048W	13343	11974	12419
YLR049C	644	596	601
YLR050C	223	214	214
YLR051C	428	406	405
YLR052W	815	657	650
YLR053C	4	9	5
YLR054C	74	44	53
YLR055C	380	322	334
YLR056W	4853	4610	4896
YLR057W	504	578	533
YLR058C	6260	5174	5291
YLR059C	609	576	593
YLR060W	5978	5750	5633
YLR061W	8079	7134	7501
YLR062C	3	3	7
YLR063W	204	204	171
YLR064W	674	682	591
YLR065C	832	846	871
YLR066W	868	785	813
YLR067C	273	230	221
YLR068W	233	203	239
YLR069C	736	636	568
YLR070C	109	74	82
YLR071C	1028	927	924
YLR072W	650	557	518
YLR073C	113	113	99
YLR074C	1335	1163	1224
YLR075W	37289	35460	36480
YLR076C	21	13	9
YLR077W	788	703	693
YLR078C	613	486	511
YLR079W	1631	1266	1283
YLR080W	176	171	168
YLR081W	52	37	44
YLR082C	397	382	333
YLR083C	1927	1852	1804
YLR084C	281	261	263
YLR085C	579	522	524
YLR086W	578	595	504
YLR087C	496	428	465
YLR088W	709	732	699
YLR089C	2598	2293	2320
YLR090W	856	748	679
YLR091W	263	218	237
YLR092W	126	118	93
YLR093C	1603	1352	1446
YLR094C	462	278	339
YLR095C	916	771	809
YLR096W	1079	922	923
YLR097C	520	457	518
YLR098C	469	447	448
YLR099C	1014	746	812
YLR099W-A	210	194	167
YLR100W	2166	1947	2008
YLR101C	5	17	7
YLR102C	343	293	296
YLR103C	216	179	221
YLR104W	251	201	254
YLR105C	434	348	396
snR79	22	23	22
YLR106C	3441	3211	3374
YLR107W	690	680	708
snR6	5	3	1
YLR108C	364	258	291
YLR109W	15560	9856	13390
YLR110C	41233	36433	38294
YLR111W	2	10	5
YLR112W	88	76	99
YLR113W	3756	3061	3059
tR(ACG)L	0	0	0
YLR114C	806	634	615
YLR115W	786	635	660
YLR116W	654	467	527
YLR117C	717	593	574
YLR118C	633	517	527
YLR119W	236	192	155
YLR120C	3348	2933	2868
YLR120W-A	21	18	18
YLR121C	667	544	529
YLR122C	21	13	10
YLR123C	36	25	29
YLR124W	12	15	8
YLR125W	96	87	66
YLR126C	509	413	492
YLR127C	407	328	385
YLR128W	167	155	148
YLR129W	1007	955	948
YLR130C	2138	1835	1774
YLR131C	387	282	305
YLR132C	192	148	150
YLR133W	559	492	507
YLR134W	217	190	196
YLR135W	284	219	242
YLR136C	405	392	522
YLR137W	321	303	271
YLR138W	1637	1399	1400
YLR139C	304	183	242
YLR140W	8	5	4
YLR141W	186	150	131
YLR142W	494	388	408
tD(GUC)L1	0	0	0
YLR143W	582	563	526
YLR144C	604	542	516
YLR145W	217	170	172
YLR146C	516	504	463
YLR146W-A	82	70	65
YLR147C	284	243	253
YLR148W	889	837	799
YLR149C	1538	1248	1215
YLR149C-A	2	0	2
YLR150W	19984	16647	17197
YLR151C	323	262	255
YLR152C	952	896	872
YLR153C	3929	3642	3597
YLR154C	164	170	151
tQ(UUG)L	0	0	0
ETS2-1	0	0	0
RDN37-1	1	0	1
RDN25-1	0	0	0
YLR154W-A	0	0	0
YLR154W-B	0	0	0
YLR154W-C	0	0	0
ITS2-1	0	0	0
RDN58-1	0	0	0
YLR154W-E	0	0	0
ITS1-1	0	0	0
YLR154W-F	0	0	0
RDN18-1	0	0	0
ETS1-1	0	0	0
RDN5-1	5	5	2
ETS2-2	2	0	0
RDN37-2	0	0	0
RDN25-2	0	0	0
YLR154C-G	0	0	0
ITS2-2	0	0	0
RDN58-2	0	0	0
ITS1-2	0	0	0
RDN18-2	0	0	0
ETS1-2	1	3	1
RDN5-2	0	0	0
YLR154C-H	0	0	0
YLR155C	0	0	0
YLR156W	0	0	0
RDN5-3	0	0	0
YLR156C-A	0	0	0
YLR157C	0	0	0
YLR157W-D	0	0	0
YLR157C-B	9	4	7
YLR157C-A	0	0	0
YLR157W-E	0	0	0
RDN5-4	0	0	0
YLR157C-C	0	0	0
YLR158C	0	0	0
YLR159W	0	0	0
RDN5-5	0	0	0
YLR159C-A	0	0	0
YLR160C	0	0	0
YLR161W	0	0	0
RDN5-6	0	0	0
YLR162W	0	0	0
YLR162W-A	3	3	4
YLR163C	907	782	735
YLR163W-A	0	0	0
YLR164W	91	83	85
YLR165C	327	255	228
YLR166C	1138	1070	1065
YLR167W	47814	40861	43072
YLR168C	423	329	349
YLR169W	3	6	3
YLR170C	398	357	360
YLR171W	18	16	22
YLR172C	1785	1665	1646
YLR173W	452	365	404
YLR174W	332	309	282
YLR175W	4868	4354	4425
YLR176C	547	467	429
YLR177W	2411	2157	1976
YLR178C	1828	1794	1676
YLR179C	2026	1617	1861
YLR180W	5745	4855	5131
YLR181C	470	410	436
YLR182W	947	864	832
YLR183C	495	499	503
YLR184W	0	0	0
YLR185W	5394	5226	5242
YLR186W	693	625	621
YLR187W	226	141	157
YLR188W	828	808	747
YLR189C	1006	838	815
YLR190W	707	584	651
YLR191W	438	325	297
YLR192C	3122	2483	2811
YLR193C	517	376	381
YLR194C	2149	1852	1885
YLR195C	1188	1200	1124
YLR196W	1629	1506	1473
YLR197W	6508	5881	6365
YLR198C	18	20	11
YLR199C	565	527	551
YLR200W	488	372	385
YLR201C	818	713	679
YLR202C	46	21	24
YLR203C	1243	1022	1175
YLR204W	610	546	514
YLR205C	163	119	144
YLR206W	1935	1874	1637
YLR207W	817	777	737
YLR208W	2311	2003	1988
YLR209C	663	629	691
YLR210W	244	173	189
YLR211C	188	148	150
YLR212C	362	322	355
YLR213C	49	35	55
YLR214W	1069	1033	1141
YLR215C	297	302	291
YLR216C	3026	2661	2685
YLR217W	5	5	2
YLR218C	154	129	130
YLR219W	1172	973	1009
YLR220W	1318	1022	1094
YLR221C	1160	984	1054
YLR222C	719	720	746
YLR222C-A	8	6	8
YLR223C	312	241	292
YLR224W	1091	965	902
YLR225C	1106	878	828
YLR226W	511	385	419
YLR227C	191	176	184
tL(UAG)L1	15	12	9
YLR227W-A	0	0	0
YLR227W-B	141	168	133
YLR228C	1054	879	825
YLR229C	1529	1403	1411
YLR230W	0	2	3
tI(UAU)L	2	1	0
YLR231C	755	727	703
YLR232W	0	2	0
YLR233C	177	192	174
YLR234W	57	51	45
YLR235C	3	3	0
YLR236C	0	2	1
YLR237W	238	198	217
YLR238W	481	426	362
YLR239C	454	444	433
YLR240W	541	516	482
YLR241W	1275	1140	1119
YLR242C	256	247	247
YLR243W	612	554	573
YLR244C	2866	2703	2664
YLR245C	132	124	115
YLR246W	215	207	180
tL(CAA)L	5	3	1
YLR247C	1118	965	1013
YLR248W	2631	2405	2229
YLR249W	48696	48266	48264
YLR250W	1793	1532	1498
YLR251W	586	546	538
YLR252W	202	209	199
YLR253W	735	594	634
YLR254C	422	327	360
YLR255C	11	5	8
YLR256W	3365	2879	2884
YLR256W-A	92	58	88
tA(AGC)L	1	0	1
YLR257W	9243	7625	7705
YLR258W	9503	9008	8146
YLR259C	4741	4045	4516
YLR260W	541	486	534
YLR261C	94	73	74
YLR262C	430	385	394
YLR262C-A	986	776	888
YLR263W	222	170	200
YLR264W	843	750	804
YLR264C-A	1	0	0
YLR265C	474	439	457
YLR266C	708	714	625
YLR267W	629	425	461
YLR268W	1171	1039	1041
YLR269C	2	0	2
YLR270W	1447	1330	1280
YLR271W	341	298	320
YLR272C	420	448	380
tV(AAC)L	0	0	0
YLR273C	143	132	142
YLR274W	817	792	770
YLR275W	214	181	178
YLR276C	2885	2693	2758
YLR277C	781	609	664
YLR278C	650	551	613
YLR279W	1	0	2
YLR280C	1	4	3
YLR281C	16	23	9
YLR282C	1	0	1
YLR283W	365	314	316
YLR284C	242	216	213
YLR285W	724	638	625
YLR285C-A	301	307	293
YLR286C	15992	14723	15171
YLR286W-A	3	7	9
YLR287C	744	747	728
YLR287C-A	8896	7974	8242
YLR288C	270	265	275
YLR289W	192	144	183
YLR290C	517	495	430
YLR291C	1108	1080	1057
YLR292C	819	707	717
YLR293C	9079	7385	8268
YLR294C	414	400	339
YLR295C	1131	948	1037
YLR296W	2	3	5
YLR297W	36	47	36
YLR298C	402	342	360
YLR299W	599	498	483
YLR299C-A	1	2	0
YLR300W	1351	1299	1296
YLR301W	1237	1145	1177
tL(UAG)L2	1	1	0
YLR302C	0	1	1
YLR303W	2794	2675	2741
tI(AAU)L1	0	0	0
YLR304C	3193	2889	2671
YLR305C	1151	1212	1224
YLR306W	269	178	228
YLR307W	10	13	10
YLR307C-A	18	15	11
YLR308W	0	0	0
YLR309C	1133	1006	990
YLR310C	1596	1581	1512
YLR311C	22	13	18
YLR312C	356	277	295
YLR312W-A	551	477	496
YLR313C	108	105	85
YLR314C	2598	2397	2259
YLR315W	120	118	97
YLR316C	210	206	228
YLR317W	136	118	121
YLR318W	186	192	178
YLR319C	683	508	541
YLR320W	304	285	283
YLR321C	687	641	603
YLR322W	0	1	1
YLR323C	218	168	174
YLR324W	803	577	636
YLR325C	8322	7533	7499
YLR326W	266	188	182
YLR327C	14305	11263	11460
tX(XXX)L	4	5	4
YLR328W	1695	1537	1504
YLR329W	28	39	44
YLR330W	3498	3171	3201
YLR331C	2	2	3
YLR332W	1511	1352	1256
tD(GUC)L2	0	0	0
snR61	50	46	37
snR55	7	5	5
snR57	35	33	25
YLR333C	3836	3498	3716
YLR334C	4	1	2
tE(UUC)L	0	0	0
YLR335W	2028	1952	1893
YLR336C	792	798	792
YLR337C	978	600	748
YLR338W	3	5	3
YLR339C	9	5	5
YLR340W	32887	23790	31629
YLR341W	7	10	5
YLR342W	7855	7603	7586
YLR342W-A	112	78	96
YLR343W	90	77	88
tR(CCG)L	0	0	0
YLR344W	6227	5561	5772
YLR345W	2257	1774	1759
YLR346C	29	24	28
YLR347C	1151	1161	1086
YLR347W-A	7	3	2
YLR348C	684	624	641
YLR349W	5	3	9
YLR350W	4661	3932	3991
YLR351C	1462	1393	1374
YLR352W	430	386	387
YLR353W	295	282	240
YLR354C	9907	9166	9010
YLR355C	5796	4779	4866
YLR356W	449	412	394
YLR357W	860	784	803
YLR358C	0	4	1
YLR359W	6598	6356	6000
YLR360W	619	505	480
YLR361C	395	389	360
YLR361C-A	144	135	127
YLR362W	574	557	497
YLR363C	414	370	357
YLR363W-A	211	186	222
YLR364W	49	36	40
YLR365W	9	4	2
YLR364C-A	0	3	7
YLR366W	2	5	5
YLR367W	2843	2558	2778
snR44	226	246	230
YLR368W	542	525	571
YLR369W	802	715	732
YLR370C	1281	1128	1138
YLR371W	942	878	875
YLR372W	2607	2608	2552
YLR373C	726	699	696
YLR374C	4	3	0
YLR375W	1627	1604	1526
YLR376C	144	129	114
YLR377C	82	54	50
tK(UUU)L	2	5	6
YLR378C	2603	2091	2532
YLR379W	0	1	0
YLR380W	710	594	658
YLR381W	364	306	353
YLR382C	487	478	412
YLR383W	318	312	311
YLR384C	2016	1840	1878
YLR385C	13	21	19
YLR386W	596	570	598
YLR387C	1278	1188	1187
YLR388W	4043	3796	3675
snR34	205	144	182
YLR389C	1764	1650	1639
YLR390W	233	156	213
YLR390W-A	3805	3008	3512
YLR392C	639	557	527
YLR393W	193	183	157
YLR394W	260	252	261
YLR395C	740	654	618
YLR396C	492	408	404
YLR397C	924	890	866
YLR398C	1097	1006	970
YLR399C	1536	1243	1295
YLR399W-A	0	0	0
YLR400W	13	10	10
YLR401C	1102	1050	1081
YLR402W	55	48	67
YLR403W	722	658	645
YLR404W	240	220	202
YLR405W	380	329	336
YLR406C	5120	4456	4617
YLR406C-A	3	1	6
YLR407W	312	283	255
YLR408C	121	89	101
YLR409C	1118	1173	1173
YLR410W	1628	1647	1551
YLR410W-B	57	58	53
YLR410W-A	0	0	0
YLR411W	49	32	47
YLR412W	776	700	697
YLR412C-A	7	5	7
YLR413W	2339	1930	2156
YLR414C	2690	2077	2194
YLR415C	15	21	18
YLR416C	3	4	1
YLR417W	931	756	697
YLR418C	842	729	743
YLR419W	509	553	599
tL(UAA)L	2	0	0
YLR420W	2743	2501	2470
YLR421C	1495	1335	1280
YLR422W	934	823	803
YLR423C	198	156	143
YLR424W	294	252	217
tN(GUU)L	0	0	0
YLR425W	418	442	396
YLR426W	306	271	252
YLR427W	969	863	865
YLR428C	2	0	4
YLR429W	2759	2494	2501
YLR430W	1403	1329	1267
YLR431C	268	249	225
YLR432W	5191	4818	4867
YLR433C	647	552	541
YLR434C	15	8	11
YLR435W	284	257	260
YLR436C	1229	1103	1098
YLR437C	180	179	167
YLR437C-A	3	6	5
YLR438W	709	577	656
YLR438C-A	522	430	431
YLR439W	496	369	455
YLR440C	800	777	739
YLR441C	21962	20746	20946
YLR442C	667	535	558
YLR443W	477	440	447
YLR444C	3	1	0
YLR445W	2	0	2
YLR446W	138	138	118
YLR447C	4218	3910	3712
YLR448W	3797	3425	3685
YLR449W	3572	2679	3150
YLR450W	1200	1039	1082
YLR451W	1016	906	900
YLR452C	891	1049	923
YLR453C	120	103	95
YLR454W	1197	1126	1038
tI(AAU)L2	0	0	1
YLR455W	313	288	294
YLR456W	177	129	135
YLR457C	269	215	209
YLR458W	0	0	0
YLR459W	455	411	409
YLR460C	35	44	41
YLR461W	1	1	0
YLR462W	3	1	2
YLR463C	3	2	0
YLR464W	0	0	0
YLR465C	5	3	3
YLR466W	1	2	1
YLR466C-A	0	0	0
YLR466C-B	11	16	8
YLR467W	0	0	0
YLR467C-A	0	0	0
YPL283C	1	1	0
YPL283W-B	0	0	0
YPL283W-A	0	0	0
YPL282C	0	0	0
YPL281C	0	0	0
YPL280W	3	1	0
YPL279C	36	29	30
YPL278C	21	9	11
YPL277C	68	30	38
YPL276W	21	16	24
YPL275W	18	16	15
YPL274W	769	493	629
YPL273W	2283	2064	2088
YPL272C	161	139	131
YPL271W	1156	1033	1003
YPL270W	1036	996	995
YPL269W	262	232	236
YPL268W	505	444	416
YPL267W	121	100	110
YPL266W	1178	1044	1119
YPL265W	2343	1897	1887
YPL264C	73	63	65
YPL263C	1161	1167	1178
YPL262W	1823	1778	1717
YPL261C	2	3	0
YPL260W	2396	2025	2088
YPL259C	1276	1017	1114
YPL258C	230	173	188
tW(CCA)P	7	5	10
YPL257W-A	0	0	0
YPL257W-B	4	4	4
YPL257W	122	102	109
YPL256C	858	642	802
YPL255W	210	195	187
YPL254W	444	427	391
YPL253C	235	209	179
YPL252C	347	258	337
YPL251W	3	0	0
YPL250C	1058	949	944
YPL249C-A	11920	10267	11229
YPL250W-A	16	10	10
YPL249C	672	599	632
YPL248C	274	201	196
YPL247C	1996	1566	1590
YPL246C	1168	1088	1128
YPL245W	553	462	507
YPL244C	711	656	638
YPL243W	3135	2764	2683
YPL242C	774	692	690
YPL241C	187	177	187
YPL240C	6529	6935	6993
YPL239W	1041	949	1029
YPL238C	5	9	2
YPL237W	3844	3534	3448
YPL236C	484	386	402
YPL235W	1885	1610	1658
YPL234C	1879	1716	1611
YPL233W	308	237	240
YPL232W	1975	1795	1734
YPL231W	11660	10584	10891
YPL230W	2210	1636	1686
YPL229W	401	333	315
YPL228W	835	766	749
YPL227C	690	576	570
YPL226W	3451	3298	3439
YPL225W	1960	1859	1788
YPL224C	1019	920	873
YPL223C	55	60	56
YPL222W	455	380	369
YPL222C-A	88	95	74
YPL221W	2360	2064	2181
YPL220W	7138	6346	6242
YPL219W	479	363	370
YPL218W	2575	2237	2389
YPL217C	1389	1288	1333
YPL216W	197	210	201
YPL215W	1124	931	938
YPL214C	589	536	489
YPL213W	260	226	220
YPL212C	1264	1120	1100
YPL211W	753	615	710
YPL210C	1918	1724	1635
YPL209C	96	56	84
YPL208W	487	451	490
YPL207W	1838	1698	1736
YPL206C	923	840	870
YPL205C	0	3	2
YPL204W	2751	2534	2392
YPL203W	1819	1525	1504
YPL202C	628	570	529
YPL201C	72	47	62
YPL200W	5	0	3
YPL199C	1413	1244	1119
YPL198W	1802	1639	1561
snR59	27	21	20
YPL197C	7	4	6
YPL196W	752	639	619
YPL195W	1588	1530	1417
YPL194W	191	150	164
YPL193W	675	548	628
YPL192C	9	2	2
YPL191C	244	241	221
YPL190C	1563	1245	1219
YPL189C-A	247	179	176
YPL189W	37	32	39
YPL188W	857	739	651
YPL187W	0	0	0
YPL186C	437	379	382
YPL185W	23	12	16
YPL184C	759	680	697
YPL183W-A	279	230	241
YPL183C	903	856	870
YPL182C	0	1	0
YPL181W	1277	1177	1133
YPL180W	684	437	465
YPL179W	1996	1841	1784
tE(UUC)P	0	0	1
YPL178W	1367	1059	1125
YPL177C	1525	1296	1294
YPL176C	880	732	725
YPL175W	554	501	482
YPL174C	293	246	282
YPL173W	616	489	470
YPL172C	224	178	180
YPL171C	33	38	29
YPL170W	496	432	460
YPL169C	1292	1236	1175
YPL168W	407	396	368
YPL167C	364	334	340
YPL166W	324	284	233
YPL165C	20	36	21
YPL164C	492	468	434
YPL163C	1198	859	1084
YPL162C	355	304	324
YPL161C	614	536	518
YPL160W	5077	5061	4976
YPL159C	807	629	663
YPL158C	518	488	494
YPL157W	314	323	320
YPL156C	1033	856	893
YPL155C	460	406	412
YPL154C	6888	6177	6140
YPL153C	123	101	120
YPL152W-A	1	1	5
YPL152W	407	367	335
YPL151C	672	461	524
YPL150W	624	559	590
YPL149W	857	727	782
YPL148C	200	161	180
YPL147W	348	300	257
YPL146C	1454	1244	1341
YPL145C	3134	2940	2853
YPL144W	218	183	212
snR17b	26	27	23
YPL143W	9112	8308	8710
YPL142C	2	6	6
YPL141C	325	266	288
YPL140C	535	490	473
YPL139C	778	716	751
YPL138C	418	402	367
YPL137C	659	555	557
YPL136W	2	1	5
YPL135W	2295	1960	1879
YPL135C-A	0	2	3
YPL134C	406	332	323
YPL133C	489	397	418
YPL132W	298	261	282
YPL131W	33899	31919	31252
YPL130W	8	4	6
YPL129W	1479	1258	1172
YPL128C	321	230	239
YPL127C	1085	1018	1033
YPL126W	2542	2610	2572
YPL125W	1053	970	917
YPL124W	137	102	117
YPL123C	590	519	519
YPL122C	493	481	470
YPL121C	1	0	2
YPL120W	434	369	377
YPL119C-A	68	49	43
YPL119C	262	213	232
YPL118W	1391	1114	1167
YPL117C	1949	1800	1749
YPL116W	857	731	738
YPL115C	720	693	675
YPL114W	90	54	47
YPL113C	155	176	141
YPL112C	682	593	602
tM(CAU)P	1	0	1
YPL111W	2171	1695	1817
YPL110C	526	473	462
YPL109C	408	377	389
YPL108W	109	115	108
YPL107W	280	240	228
YPL106C	14416	13513	13694
YPL105C	1888	1740	1588
YPL104W	345	309	331
YPL103C	598	536	510
YPL102C	2	1	1
YPL101W	917	907	879
YPL100W	924	805	814
YPL099C	279	237	265
YPL098C	687	546	605
YPL097W	291	247	261
YPL096C-A	141	117	115
YPL096W	521	477	451
YPL095C	276	276	260
YPL094C	1731	1562	1568
YPL093W	1873	1840	1877
YPL092W	750	750	704
YPL091W	2414	2383	2255
YPL090C	7775	6855	7555
YPL089C	767	597	613
YPL088W	390	295	338
YPL087W	1626	1541	1518
YPL086C	1335	1240	1234
YPL085W	870	639	807
YPL084W	1442	1133	1265
YPL083C	344	336	304
YPL082C	797	753	706
YPL081W	1984	1547	1619
YPL080C	2	1	0
YPL079W	9204	8742	8677
YPL078C	2546	2254	2279
YPL077C	156	151	145
YPL076W	226	240	198
YPL075W	841	840	850
YPL074W	1087	937	964
YPL073C	1	2	1
YPL072W	204	176	192
YPL071C	307	267	279
YPL070W	1016	827	812
YPL069C	351	341	307
YPL068C	150	109	151
YPL067C	237	272	218
YPL066W	861	801	772
YPL065W	348	324	272
YPL064C	721	525	576
YPL063W	2206	1993	2009
YPL062W	2	1	0
YPL061W	18568	12227	12933
YPL060W	338	272	319
tC(GCA)P1	1	0	0
YPL060C-A	3	3	5
YPL059W	826	698	688
YPL058C	685	748	769
YPL057C	3256	2757	2727
YPL056C	43	30	30
YPL055C	807	543	653
YPL054W	281	160	209
YPL053C	1145	1023	1000
YPL052W	237	169	160
YPL051W	152	147	146
YPL050C	1011	906	847
YPL049C	1554	1324	1339
YPL048W	4010	2559	2778
YPL047W	304	287	271
YPL046C	119	99	129
YPL045W	606	524	538
YPL044C	0	2	2
YPL043W	740	722	765
YPL042C	441	355	381
YPL041C	104	77	101
YPL040C	440	388	395
YPL039W	248	261	211
YPL038W-A	9	8	10
YPL038W	232	184	165
YPL037C	4290	3636	3736
YPL036W	141	124	125
YPL035C	0	0	1
YPL034W	342	283	279
YPL033C	5	3	8
YPL032C	1081	1015	1074
YPL031C	861	781	836
YPL030W	216	183	238
YPL029W	251	248	220
YPL028W	4418	3942	3809
YPL027W	2	1	1
YPL026C	635	485	506
YPL025C	11	4	7
YPL024W	407	329	370
YPL023C	1500	1239	1297
YPL022W	1194	1047	1020
YPL021W	0	0	0
YPL020C	795	645	673
YPL019C	1745	1721	1921
YPL018W	154	149	123
YPL017C	116	122	93
YPL016W	470	385	408
YPL015C	1275	1120	1171
YPL014W	1656	1471	1655
YPL013C	568	493	446
YPL012W	1327	1311	1332
YPL011C	609	559	530
YPL010W	1670	1606	1586
YPL009C	2370	1992	2087
YPL008W	407	353	329
YPL007C	412	383	380
YPL006W	967	810	892
YPL005W	206	212	175
YPL004C	13675	11452	11376
