Geneid	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_01_S288C_1_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_03_S288C_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_02_S288C_2_Aligned.sortedByCoord.out.bam
YDR322W	784	706	731
YDR322C-A	635	604	527
YDR323C	267	236	252
YDR324C	990	953	992
YDR325W	373	318	334
YDR326C	865	890	813
YDR327W	3	0	2
YDR328C	1861	1633	1627
YDR329C	1129	918	943
YDR330W	1053	781	884
YDR331W	521	456	416
YDR332W	422	375	367
YDR333C	1334	1265	1303
YDR334W	823	752	749
YDR335W	1606	1547	1414
YDR336W	448	403	441
YDR337W	588	516	533
YDR338C	578	574	524
YDR339C	867	707	740
tX(XXX)D	0	0	0
YDR340W	0	2	1
YDR341C	5735	5486	5579
YDR342C	1020	963	697
YDR343C	480	525	442
YDR344C	48	36	42
YDR345C	22615	18492	19225
YDR346C	2796	2418	2491
YDR347W	769	632	668
YDR348C	1538	1221	1312
YDR349C	1310	1152	1061
tM(CAU)D	0	0	1
YDR350C	860	755	739
YDR351W	812	702	682
YDR352W	602	569	604
YDR353W	4706	4258	4153
YDR354W	1637	1462	1347
YDR354C-A	0	0	0
YDR355C	0	0	0
YDR356W	493	412	422
YDR357C	267	218	264
YDR358W	1391	1200	1209
YDR359C	518	479	458
YDR360W	1	1	2
YDR361C	1357	1140	1171
YDR362C	510	495	435
YDR363W	517	481	431
tK(CUU)D1	0	0	0
YDR363W-A	730	614	626
YDR364C	468	430	394
YDR365C	3407	2947	3252
YDR365W-A	0	0	0
YDR365W-B	31	38	32
YDR366C	8	11	7
YDR367W	484	383	413
YDR368W	1102	1023	1065
YDR369C	335	265	283
YDR370C	505	457	411
YDR371W	459	435	432
YDR371C-A	3	0	0
YDR372C	1696	1488	1468
YDR373W	562	458	440
YDR374C	5	1	3
YDR374W-A	227	155	215
YDR375C	593	520	513
YDR376W	512	475	442
YDR377W	1228	1047	1070
YDR378C	696	613	661
YDR379W	740	668	622
YDR379C-A	233	193	205
YDR380W	1637	1531	1495
YDR381W	3998	3207	3447
YDR381C-A	433	351	391
YDR382W	11240	10339	10207
YDR383C	337	275	291
YDR384C	1270	1013	1124
YDR385W	7820	7470	7407
YDR386W	228	219	195
YDR387C	777	740	766
YDR388W	2481	2362	2156
YDR389W	585	476	455
YDR390C	1208	1114	1096
tG(CCC)D	0	0	0
YDR391C	882	767	797
YDR392W	790	582	675
YDR393W	379	314	300
YDR394W	3522	3173	3066
YDR395W	1679	1788	1742
YDR396W	6	8	4
YDR397C	893	754	909
YDR398W	1892	1755	1726
YDR399W	2517	2203	2277
YDR400W	476	454	446
YDR401W	19	15	15
YDR402C	16	23	15
YDR403W	61	42	46
YDR404C	882	792	799
YDR405W	808	634	695
YDR406W	1142	970	992
YDR406W-A	3	1	0
YDR407C	827	773	730
YDR408C	1232	1101	1052
YDR409W	453	290	300
YDR410C	387	366	365
YDR411C	743	687	618
YDR412W	1112	986	1004
YDR413C	2	4	3
YDR414C	261	288	278
YDR415C	511	457	436
YDR416W	568	495	538
YDR417C	5	7	2
YDR418W	10725	9624	9754
YDR419W	448	388	364
tS(AGA)D3	0	0	0
YDR420W	445	363	437
YDR421W	489	479	432
YDR422C	748	710	643
YDR423C	859	691	775
YDR424C	300	279	288
YDR425W	594	603	563
YDR426C	11	6	14
YDR427W	2760	2529	2500
YDR428C	418	384	375
YDR429C	3861	3562	3384
YDR430C	910	714	790
YDR431W	0	2	1
YDR432W	3620	2468	2688
YDR433W	458	349	406
YDR434W	871	817	835
YDR435C	936	889	865
YDR436W	753	682	659
YDR437W	85	59	64
YDR438W	215	182	203
YDR439W	304	245	289
YDR440W	279	252	244
YDR441C	270	247	237
YDR442W	2	0	2
YDR443C	416	406	370
YDR444W	589	522	528
