sgd_id	yeast_rnaseq_1	yeast_rnaseq_2	yeast_rnaseq_3	yeast_stripeseq_unpooled_1	yeast_stripeseq_unpooled_2	yeast_stripeseq_unpooled_3	yeast_stripeseq_pooled_1	yeast_stripeseq_pooled_2	yeast_stripeseq_pooled_3
YDL067C	1078	908	929	104	97	87	167	101	138
YDL066W	1485	1360	1309	102	134	149	149	103	127
YDL065C	880	760	746	159	161	196	226	202	241
YDL064W	696	543	415	81	85	93	106	73	99
YDL063C	875	908	906	17	17	23	50	30	27
YDL062W	0	0	0	0	0	0	0	0	0
YDL061C	4500	4684	4140	191	224	215	296	216	246
YDL060W	1365	1321	1317	39	51	41	62	45	77
YDL059C	124	92	99	101	80	102	110	76	104
YDL058W	884	821	841	30	47	49	79	62	122
YDL057W	181	192	198	18	12	19	15	18	22
YDL056W	639	585	624	14	21	21	42	25	44
YDL055C	15031	14287	14118	150	179	160	185	151	207
tK(UUU)D	17	16	21	1	0	0	0	0	0
YDL054C	850	669	733	19	19	24	18	16	19
YDL053C	650	557	568	72	63	64	82	60	79
YDL052C	1176	950	850	34	25	43	33	28	42
YDL051W	2549	2386	2329	115	117	152	172	128	163
YDL050C	2	2	1	0	0	0	0	0	0
YDL049C	175	128	126	16	13	12	12	10	7
YDL048C	2340	2118	2130	353	373	398	285	299	296
YDL047W	1246	1261	1118	48	57	71	78	50	68
YDL046W	2360	1874	1932	57	75	67	89	73	86
YDL045W-A	251	222	249	57	58	63	63	38	42
YDL045C	712	549	600	23	23	26	24	22	28
YDL044C	328	313	314	38	19	46	47	19	44
YDL043C	315	345	340	17	13	23	16	16	14
YDL042C	327	376	351	32	37	32	26	32	30
YDL041W	3	4	1	1	0	0	0	0	0
YDL040C	2627	2482	2472	67	89	100	139	93	134
YDL039C	663	660	642	3	5	4	10	13	17
YDL037C	151	173	162	27	28	30	20	31	27
YDL036C	433	403	410	44	62	69	81	62	76
YDL035C	745	642	664	12	10	5	23	20	15
YDL034W	0	2	1	0	0	0	0	0	1
YDL033C	271	213	243	15	25	28	44	17	31
YDL032W	1	2	0	0	0	0	0	0	0
YDL031W	1146	1120	1077	14	24	27	41	29	43
YDL030W	397	403	376	76	72	104	135	112	112
YDL029W	2740	2513	2534	22	33	27	37	38	39
YDL028C	582	504	504	26	15	37	42	27	45
YDL027C	752	683	675	39	57	38	29	16	25
YDL026W	3	0	2	1	1	0	0	0	0
YDL025C	1323	1021	1118	159	129	147	95	89	88
YDL025W-A	3	0	0	0	0	0	0	0	1
YDL024C	66	44	48	9	6	8	5	3	4
YDL022C-A	1	2	1	3	0	0	2	2	4
tA(AGC)D	0	0	0	0	0	0	1	1	0
YDL023C	2	1	2	0	1	0	0	0	0
YDL022W	8624	6854	6400	107	94	117	175	113	153
YDL021W	303	296	270	67	61	60	59	38	58
YDL020C	2579	2191	2195	115	118	131	214	102	114
YDL019C	2228	1850	1921	58	51	54	104	83	146
YDL018C	379	349	338	57	52	64	70	49	53
YDL017W	431	388	427	39	38	46	69	51	54
YDL016C	97	113	122	0	0	0	0	0	1
YDL015C	3005	2885	2929	59	75	64	73	72	61
YDL014W	2909	2711	2613	149	137	123	107	94	140
YDL013W	742	577	650	38	49	44	57	36	52
YDL012C	604	553	541	77	75	78	62	55	54
YDL011C	0	0	1	0	0	0	0	0	0
YDL010W	674	566	582	88	99	109	201	108	178
YDL009C	8	11	13	1	1	0	2	1	2
YDL008W	275	260	258	22	28	28	25	21	26
tT(AGU)D	0	0	0	0	0	0	0	0	0
YDL007C-A	1	0	0	0	0	0	0	0	0
tS(AGA)D1	0	0	0	0	0	0	0	0	0
YDL007W	3943	3380	3391	211	186	252	363	251	345
YDL006W	430	373	370	26	18	34	35	17	43
YDL005C	998	853	858	68	71	111	119	66	97
YDL004W	1524	1229	1262	102	124	120	158	118	149
YDL003W	323	326	284	31	20	13	46	40	41
YDL002C	723	686	559	123	135	130	148	129	156
YDL001W	482	386	405	33	25	37	34	36	32
YDR001C	4584	4015	4067	255	258	327	247	188	330
YDR002W	5432	5018	4719	502	604	632	817	661	747
YDR003W	788	615	578	46	31	52	68	50	68
YDR003W-A	178	135	133	0	0	1	0	1	1
YDR004W	639	582	530	34	34	33	39	25	38
YDR005C	1226	1136	1145	24	28	30	36	20	26
YDR006C	1365	1298	1296	184	152	209	124	121	146
YDR007W	915	738	794	43	45	41	46	26	41
YDR008C	46	34	33	43	26	52	53	25	33
YDR009W	97	80	97	5	2	3	0	3	3
YDR010C	6	4	5	0	1	1	0	0	0
YDR011W	3783	3510	3504	184	181	236	214	150	255
YDR012W	6580	6383	6328	75	62	56	90	76	102
YDR013W	323	279	237	10	9	11	14	8	10
